"id";"parentId";"parentUrl";"expandInMenu";"visible";"priority";"access";"title";"linkText";"url";"topDescription";"bottomDescription";"metaTitle";"metaDescription"
"49644";"1";"";"0";"1";"12";"1";"Chovateľské potreby";"Chovateľské potreby";"chovatelske-potreby";"<p>Chovateľské potreby pre domáce zvieratá – inteligentné (samočistiace) toalety a príslušenstvo pre mačky, doplnky pre psov (vodítka, vrecká na exkrementy) a prípravky na starostlivosť o zvieratá. Dominuje značka PetKit.</p>";"<h2>Výber podľa typu produktu</h2><p><a href=""/pelechy--skrabadla-a-klietky/"">Pelechy, škrabadlá a klietky</a>. <a href=""/misky-a-davkovace-krmiva/"">Misky a dávkovače krmiva</a>. <a href=""/fontany-a-napajacky/"">Fontány a napájačky</a>. <a href=""/vencenie-a-transport/"">Venčenie a transport</a>. <a href=""/starostlivost-o-zvierata/"">Starostlivosť o zvieratá</a>. <a href=""/pohlcovace-zapachu/"">Pohlcovače zápachu</a>. <a href=""/macacie-toalety-a-prislusenstvo/"">Mačacie toalety a príslušenstvo</a>. <a href=""/inteligentne-toalety-pre-zvierata/"">Inteligentné toalety pre zvieratá</a>. <a href=""/akvaristika/"">Akvaristika</a>.</p><p>Pri výbere porovnajte vlastnosti konkrétneho výrobku a rozsah balenia. Kompatibilitu príslušenstva overujte podľa presného označenia zariadenia.</p>";"Smart toalety a doplnky pre domácich miláčikov PetKit | PremiumStore.sk";"Inteligentné toalety a príslušenstvo pre mačky, doplnky pre psov a prípravky na starostlivosť o zvieratá, značka PetKit."
"49683";"49638";"auto-moto";"0";"1";"5";"1";"Autobatérie, nabíjačky a štartovacie boxy";"Autobatérie, nabíjačky a štartovacie boxy";"autobaterie-nabijacky-a-startovacie-boxy";"<p>Nabíjanie a autobatérie – štartovacie káble a prenosné štartovacie boxy, autobatérie, testery a svorky na autobatérie. Značky COMPASS, GOOLOO a UTRAI.</p>";"<h2>Výber podľa typu produktu</h2><p><a href=""/nabijacky-autobaterii/"">Nabíjačky autobatérií</a>.</p><p>Pri výbere porovnajte vlastnosti konkrétneho výrobku a rozsah balenia. Kompatibilitu príslušenstva overujte podľa presného označenia zariadenia.</p>";"Autobatérie, nabíjačky a štartovacie boxy | PremiumStore.sk";"Autobatérie, nabíjačky autobatérií a štartovacie boxy značiek COMPASS, EMOS a ďalších."
"49701";"49638";"auto-moto";"0";"1";"3";"1";"Elektronika do auta";"Elektronika do auta";"elektronika-do-auta";"<p>Elektronika a audio do auta – autorádiá a reproduktory (prevažne značka Pioneer), bezdrôtové adaptéry CarPlay/Android Auto, displeje a držiaky na mobil do auta.</p>";"<h2>Výber podľa typu produktu</h2><p><a href=""/autoradia/"">Autorádiá</a>. <a href=""/kamery-do-auta/"">Kamery do auta</a>.</p><p>Pri výbere porovnajte vlastnosti konkrétneho výrobku a rozsah balenia. Kompatibilitu príslušenstva overujte podľa presného označenia zariadenia.</p>";"Autorádiá a car audio Pioneer | PremiumStore.sk";"Autorádiá, reproduktory do auta, bezdrôtové CarPlay/Android Auto adaptéry a displeje do auta, značka Pioneer."
"49722";"49641";"cestovanie-sport-a-outdoor";"0";"1";"2";"1";"Bojové športy";"Bojové športy";"bojove-sporty";"<p>Vybavenie pre box a MMA – boxerské a MMA rukavice, chrániče (na telo aj holene), lapy a tréningové bloky, boxovacie vaky. Dominuje značka DBX BUSHIDO. Pri výbere rukavíc zohľadnite váhu (oz) podľa typu tréningu.</p>";"<h2>Výber podľa typu produktu</h2><p><a href=""/boxerske-rukavice/"">Boxerské rukavice</a>. <a href=""/mma-rukavice/"">MMA rukavice</a>. <a href=""/chranice-pre-bojove-sporty/"">Chrániče pre bojové športy</a>.</p><p>Pri výbere porovnajte vlastnosti konkrétneho výrobku a rozsah balenia. Kompatibilitu príslušenstva overujte podľa presného označenia zariadenia.</p>";"Boxerské a MMA vybavenie DBX BUSHIDO | PremiumStore.sk";"Boxerské a MMA rukavice, chrániče, boxovacie vaky a tréningové pomôcky, najmä značka DBX BUSHIDO."
"49752";"49641";"cestovanie-sport-a-outdoor";"0";"1";"4";"1";"Príslušenstvo pre drony";"Príslušenstvo pre drony";"prislusenstvo-pre-drony";"<p>Príslušenstvo pre drony DJI (Mavic, Mini a ďalšie modely) – ND a CPL filtre na objektív, prepravné tašky a kufre. Značky Sunnylife, Freewell a PGYTECH. Vyberte filter/kryt presne podľa modelu vášho dronu.</p>";"<h2>Výber podľa typu produktu</h2><p><a href=""/filtre-pre-drony/"">Filtre pre drony</a>. <a href=""/tasky-a-kufre-pre-drony/"">Tašky a kufre pre drony</a>.</p><p>Pri výbere porovnajte vlastnosti konkrétneho výrobku a rozsah balenia. Kompatibilitu príslušenstva overujte podľa presného označenia zariadenia.</p>";"Filtre a príslušenstvo pre DJI drony | PremiumStore.sk";"ND/CPL filtre, tašky a kufre pre drony DJI (Mavic, Mini), značky Sunnylife, Freewell a PGYTECH."
"51078";"49644";"chovatelske-potreby";"0";"1";"";"1";"Akvaristika";"Akvaristika";"akvaristika";"<p>Akvaristika zahŕňa techniku na filtráciu a cirkuláciu vody aj vybavenie akvárií.</p>";"<h2>Akvaristika – výber a použitie</h2><p>Pri filtri alebo čerpadle porovnajte prietok, určený objem nádrže a spôsob montáže. Filtračné čerpadlo, samostatný filter a prúdové čerpadlo plnia odlišné úlohy.</p><p>Ďalší výber ponúka <a href=""/chovatelske-potreby/"">Chovateľské potreby</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/pelechy--skrabadla-a-klietky/"">Pelechy, škrabadlá a klietky</a>.</p>";"Akvaristika | PremiumStore.sk";"Akvaristika zahŕňa techniku na filtráciu a cirkuláciu vody aj vybavenie akvárií."
"51066";"49644";"chovatelske-potreby";"0";"1";"";"1";"Fontány a napájačky";"Fontány a napájačky";"fontany-a-napajacky";"<p>Fontány a napájačky pre psy a mačky dopĺňa príslušenstvo na údržbu a výmenu opotrebovaných dielov.</p>";"<h2>Fontány a napájačky – výber a použitie</h2><p>Vyberajte podľa objemu nádoby, hlučnosti a spôsobu napájania. Náhradný filter či čerpadlo musia zodpovedať presnému modelu fontány; rovnaká značka sama osebe kompatibilitu nezaručuje.</p><p>Ďalší výber ponúka <a href=""/chovatelske-potreby/"">Chovateľské potreby</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/pelechy--skrabadla-a-klietky/"">Pelechy, škrabadlá a klietky</a>.</p>";"Fontány a napájačky | PremiumStore.sk";"Fontány a napájačky pre psy a mačky dopĺňa príslušenstvo na údržbu a výmenu opotrebovaných dielov."
"51075";"49644";"chovatelske-potreby";"0";"1";"";"1";"Inteligentné toalety pre zvieratá";"Inteligentné toalety pre zvieratá";"inteligentne-toalety-pre-zvierata";"<p>Inteligentné samočistiace toalety pre mačky oddeľujú znečistené stelivo a uľahčujú pravidelnú údržbu.</p>";"<h2>Inteligentné toalety pre zvieratá – výber a použitie</h2><p>Skontrolujte vnútorné rozmery, odporúčanú hmotnosť mačky a podporovaný typ steliva. Rozlišujte samotnú toaletu od schodíkov, podložiek a spotrebného príslušenstva.</p><p>Ďalší výber ponúka <a href=""/chovatelske-potreby/"">Chovateľské potreby</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/pelechy--skrabadla-a-klietky/"">Pelechy, škrabadlá a klietky</a>.</p>";"Inteligentné toalety pre zvieratá | PremiumStore.sk";"Inteligentné samočistiace toalety pre mačky oddeľujú znečistené stelivo a uľahčujú pravidelnú údržbu."
"51072";"49644";"chovatelske-potreby";"0";"1";"";"1";"Mačacie toalety a príslušenstvo";"Mačacie toalety a príslušenstvo";"macacie-toalety-a-prislusenstvo";"<p>Príslušenstvo k mačacím toaletám zahŕňa stelivo, vrecká, podložky, schodíky a náhradné diely.</p>";"<h2>Mačacie toalety a príslušenstvo – výber a použitie</h2><p>Pri spotrebnom materiáli aj doplnkoch skontrolujte model toalety a rozmery. Schodík alebo podložka sú doplnky k zariadeniu; nenahrádzajú samotnú samočistiacu toaletu.</p><p>Ďalší výber ponúka <a href=""/chovatelske-potreby/"">Chovateľské potreby</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/pelechy--skrabadla-a-klietky/"">Pelechy, škrabadlá a klietky</a>.</p>";"Mačacie toalety a príslušenstvo | PremiumStore.sk";"Príslušenstvo k mačacím toaletám zahŕňa stelivo, vrecká, podložky, schodíky a náhradné diely."
"51069";"49644";"chovatelske-potreby";"0";"1";"";"1";"Misky a dávkovače krmiva";"Misky a dávkovače krmiva";"misky-a-davkovace-krmiva";"<p>Misky a automatické dávkovače krmiva pomáhajú pripraviť pravidelné porcie pre psy a mačky.</p>";"<h2>Misky a dávkovače krmiva – výber a použitie</h2><p>Porovnajte objem zásobníka, nastavovanie porcií a vhodný druh krmiva. Ovládanie cez aplikáciu, kamera alebo chladenie sú vlastnosti konkrétneho modelu, nie celej kategórie.</p><p>Ďalší výber ponúka <a href=""/chovatelske-potreby/"">Chovateľské potreby</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/pelechy--skrabadla-a-klietky/"">Pelechy, škrabadlá a klietky</a>.</p>";"Misky a dávkovače krmiva | PremiumStore.sk";"Misky a automatické dávkovače krmiva pomáhajú pripraviť pravidelné porcie pre psy a mačky."
