id;name;indexName;description;webUrl;inMenu;inList;metaTitle;metaDescription;manufacturingCompanyName;postalAddress;contactEmail;europeanResellerManufacturingCompanyName;europeanResellerPostalAddress;europeanResellerContactEmail;
"129";"Solight";"solight";"<p>Solight je česká značka spotrebnej elektroinštalácie a osvetlenia s veľmi širokým záberom – od LED žiaroviek a svietidiel cez predlžovacie káble, zásuvky a vidlice až po vianočné osvetlenie, zvončeky, anténnu techniku a meraciu techniku. Ide o dostupný sortiment pre bežnú domácnosť aj drobné inštalačné práce.</p><p>Značku Solight nájdete na PremiumStore.sk v kategóriách <a href=""/led-osvetlenie/"">LED osvetlenie</a>, <a href=""/predlzovacky--zasuvky--vidlica/"">Predlžovacie káble a vidlice</a>, <a href=""/ostatne-27/"">Ostatné</a> a <a href=""/vianocne-osvetlenie/"">Vianočné osvetlenie</a>.</p>";"";"0";"1";"Solight – LED osvetlenie a elektroinštalácia | PremiumStore.sk";"Solight je česká značka spotrebnej elektroinštalácie a osvetlenia s veľmi širokým záberom – od LED žiaroviek a svietidiel cez predlžovacie káble, zásuvky a…";"";"";"";"";"";"";
"96";"Emos";"emos";"<p>EMOS je jeden z najväčších českých dodávateľov elektroinštalačného materiálu a osvetlenia. Ponuka zahŕňa LED žiarovky a svietidlá, predlžovacie káble a prívodné šnúry, vianočné osvetlenie, batérie, meraciu techniku aj prvky smart domácnosti pod radom EMOS GoSmart.</p><p>Značku Emos nájdete na PremiumStore.sk v kategóriách <a href=""/led-osvetlenie/"">LED osvetlenie</a>, <a href=""/predlzovacky--zasuvky--vidlica/"">Predlžovacie káble a vidlice</a>, <a href=""/vianocne-osvetlenie/"">Vianočné osvetlenie</a> a <a href=""/osvetlenie/"">Osvetlenie</a>.</p>";"";"0";"1";"Emos – osvetlenie, káble a smart domácnosť | PremiumStore.sk";"EMOS je jeden z najväčších českých dodávateľov elektroinštalačného materiálu a osvetlenia. Ponuka zahŕňa LED žiarovky a svietidlá, predlžovacie káble a…";"";"";"";"";"";"";
"1734";"Monacor";"monacor";"<p>Monacor International je nemecký výrobca profesionálnej audio techniky s vyše päťdesiatročnou históriou. Pokrýva celý reťazec ozvučenia – 100V rozhlasové a evakuačné systémy, reproduktory a reproduktorové meniče, zosilňovače, mixpulty, pódiovú a DJ techniku, káble, konektory a inštalačný materiál. Popri vlastnej značke zastrešuje aj rady IMG Stage Line a JTS.</p><p>Značku Monacor nájdete na PremiumStore.sk v kategóriách <a href=""/plosne-ozvucenie--100v-rozhlasove-ozvucenie/"">Plošné ozvučenie (100V rozhlasové ozvučenie)</a>, <a href=""/reproduktory-5/"">Reproduktory</a>, <a href=""/podium--diskoteka--dj/"">Pódium, diskotéka, DJ</a> a <a href=""/kable--konektory-a-redukcie/"">Káble, konektory a redukcie</a>.</p>";"";"0";"1";"Monacor – profesionálna audio technika | PremiumStore.sk";"Monacor International je nemecký výrobca profesionálnej audio techniky s vyše päťdesiatročnou históriou. Pokrýva celý reťazec ozvučenia – 100V rozhlasové a…";"";"";"";"";"";"";
"198";"Compass";"compass";"<p>COMPASS je česká značka autopríslušenstva a vybavenia do garáže. Najsilnejšia je v stieračoch, poťahoch, organizéroch, autokozmetike a povinnej výbave, dopĺňa ju dielenské náradie, zdviháky, štartovacie káble a bezpečnostné prvky do vozidla.</p><p>Značku Compass nájdete na PremiumStore.sk v kategóriách <a href=""/vybavenie-auta/"">Príslušenstvo do auta</a>, <a href=""/garaz--dielna--servis/"">Garáž, dielňa, servis</a>, <a href=""/bezpecnost/"">Bezpečnosť</a> a <a href=""/autoradia/"">Elektronika do auta</a>.</p>";"";"0";"1";"Compass – autopríslušenstvo a dielenské vybavenie | PremiumStore.sk";"COMPASS je česká značka autopríslušenstva a vybavenia do garáže. Najsilnejšia je v stieračoch, poťahoch, organizéroch, autokozmetike a povinnej výbave…";"";"";"";"";"";"";
"273";"Alien";"alien";"<p>ALIEN je značka náhradných diaľkových ovládačov, ktorá pokrýva stovky konkrétnych modelov televízorov, satelitných a DVB-T2 prijímačov aj DVD prehrávačov. Ovládač je vyrobený ako presná náhrada originálu pre daný model – netreba ho programovať ani párovať.</p><p>Značku Alien nájdete na PremiumStore.sk v kategóriách <a href=""/televizne-ovladace/"">Televízne ovládače</a>, <a href=""/satelitne-ovladace/"">Satelitné ovládače</a> a <a href=""/ovladace-k-dvb-t2/"">Ovládače k DVB-T2</a>.</p>";"";"0";"1";"Alien – náhradné diaľkové ovládače | PremiumStore.sk";"ALIEN je značka náhradných diaľkových ovládačov, ktorá pokrýva stovky konkrétnych modelov televízorov, satelitných a DVB-T2 prijímačov aj DVD prehrávačov…";"";"";"";"";"";"";
"78";"Sixtol";"sixtol";"<p>SIXTOL je česká značka náradia a vybavenia do dielne a garáže. V ponuke sú momentové kľúče, špeciálne servisné prípravky, gola sady, autokozmetika, odvlhčovače, ale aj záhradné náradie a drobná vzduchotechnika.</p><p>Značku Sixtol nájdete na PremiumStore.sk v kategóriách <a href=""/garaz--dielna--servis/"">Garáž, dielňa, servis</a>, <a href=""/vybavenie-auta/"">Príslušenstvo do auta</a>, <a href=""/vzduchotechnika/"">Vzduchotechnika</a> a <a href=""/osvetlenie/"">Osvetlenie</a>.</p>";"";"0";"1";"Sixtol – dielenské náradie a autopríslušenstvo | PremiumStore.sk";"SIXTOL je česká značka náradia a vybavenia do dielne a garáže. V ponuke sú momentové kľúče, špeciálne servisné prípravky, gola sady, autokozmetika…";"";"";"";"";"";"";
"66";"Eleman";"eleman";"<p>ELEMAN je český dodávateľ elektroinštalačného materiálu so zameraním na rozvádzačové prvky – svorky, svorkovnice, lišty, viečka a krabice, uzemňovacie svorky a montážny materiál pre elektrikárov. Dopĺňajú ho elektromery, spínacia technika a komponenty pre svietidlá.</p><p>Značku Eleman nájdete na PremiumStore.sk v kategóriách <a href=""/rozvadzacove-prvky/"">Rozvádzačové prvky</a>, <a href=""/elektromery-a-spinacie-technika/"">Elektromery a spínacie technika</a>, <a href=""/komponenty-pre-svietidla/"">Komponenty pre svietidlá</a> a <a href=""/vypinace--zasuvky--krabice/"">Vypínače a nástenné zásuvky</a>.</p>";"";"0";"1";"Eleman – rozvádzačové prvky a inštalačný materiál | PremiumStore.sk";"ELEMAN je český dodávateľ elektroinštalačného materiálu so zameraním na rozvádzačové prvky – svorky, svorkovnice, lišty, viečka a krabice, uzemňovacie svorky…";"";"";"";"";"";"";
"105";"Famatel";"famatel";"<p>Famatel je španielsky výrobca priemyselnej elektroinštalácie. Ťažiskom sú priemyselné zásuvky, vidlice a spojky radu SpeedPRO v krytí IP44 až IP67 pre 230 V aj 400 V, plus rozvodné skrine, rozvádzače a nástenné zásuvkové kombinácie.</p><p>Značku Famatel nájdete na PremiumStore.sk v kategóriách <a href=""/montazne-skrine-a-rozvadzace/"">Montážne skrine a rozvádzače</a>, <a href=""/predlzovacky--zasuvky--vidlica/"">Predlžovacie káble a vidlice</a> a <a href=""/vypinace--zasuvky--krabice/"">Vypínače a nástenné zásuvky</a>.</p>";"";"0";"1";"Famatel – priemyselné zásuvky a rozvádzače | PremiumStore.sk";"Famatel je španielsky výrobca priemyselnej elektroinštalácie. Ťažiskom sú priemyselné zásuvky, vidlice a spojky radu SpeedPRO v krytí IP44 až IP67 pre 230 V…";"";"";"";"";"";"";
"393";"Vents";"vents";"<p>VENTS je jeden z najväčších európskych výrobcov ventilačnej techniky. V ponuke sú kúpeľňové a kuchynské ventilátory, potrubné a priemyselné ventilátory, radiálne jednotky, rekuperácia a príslušenstvo k vzduchotechnickému potrubiu.</p><p>Značku Vents nájdete na PremiumStore.sk v kategóriách <a href=""/ventilacne-technika/"">Ventilačné technika</a> a <a href=""/montazne-skrine-a-rozvadzace/"">Montážne skrine a rozvádzače</a>.</p>";"";"0";"1";"Vents – ventilátory a vzduchotechnika | PremiumStore.sk";"VENTS je jeden z najväčších európskych výrobcov ventilačnej techniky. V ponuke sú kúpeľňové a kuchynské ventilátory, potrubné a priemyselné ventilátory…";"";"";"";"";"";"";
"1518";"Fixed";"fixed";"<p>FIXED je česká značka príslušenstva k mobilným telefónom. Sústreďuje sa na tvrdené ochranné sklá a fólie, kryty a puzdrá pre konkrétne modely telefónov, ďalej nabíjačky s technológiou GaN, káble a držiaky.</p><p>Značku Fixed nájdete na PremiumStore.sk v kategórii <a href=""/prislusenstvo-10/"">Príslušenstvo</a>.</p>";"";"0";"1";"Fixed – ochranné sklá a kryty na mobily | PremiumStore.sk";"FIXED je česká značka príslušenstva k mobilným telefónom. Sústreďuje sa na tvrdené ochranné sklá a fólie, kryty a puzdrá pre konkrétne modely telefónov…";"";"";"";"";"";"";
